i18n_key,command_id,icon,icon_after,th_now,th_new,en_now,en_new,note
ui.planner.group2,,trash,,🗑 ยุบกลุ่ม,ยุบกลุ่ม,🗑 ยุบกลุ่ม,ยุบกลุ่ม,
ui.planner.groupPick,,collection,,🗂 จัดกลุ่มที่เลือก,จัดกลุ่มที่เลือก,🗂 จัดกลุ่มที่เลือก,จัดกลุ่มที่เลือก,
ui.planner.hideGrid,,grid,,▦ ซ่อนกริด,ซ่อนกริด,▦ ซ่อนกริด,ซ่อนกริด,
ui.planner.liftOneLayer,,arrow-up,,↑ ยกขึ้นหนึ่งชั้น,ยกขึ้นหนึ่งชั้น,↑ ยกขึ้นหนึ่งชั้น,ยกขึ้นหนึ่งชั้น,
ui.planner.liftOneLayerCtrl,,arrow-up,,"↑ ยกขึ้นหนึ่งชั้น <span style=""opacity:.55"">Ctrl+]</span>","ยกขึ้นหนึ่งชั้น <span style=""opacity:.55"">Ctrl+]</span>","↑ ยกขึ้นหนึ่งชั้น <span style=""opacity:.55"">Ctrl+]</span>","ยกขึ้นหนึ่งชั้น <span style=""opacity:.55"">Ctrl+]</span>",คีย์ลัด Ctrl+] ในประโยค — หาคำสั่งที่ตรงไม่เจอ
ui.planner.liftTop,,arrow-up,,⬆ ยกไปบนสุด,ยกไปบนสุด,⬆ ยกไปบนสุด,ยกไปบนสุด,
ui.planner.liftTopCtrlShift,,,,ยกไปบนสุด (Ctrl+Shift+]),ยกไปบนสุด,ยกไปบนสุด (Ctrl+Shift+]),ยกไปบนสุด,ตัดคีย์ลัดท้าย (Ctrl+Shift+]) — ให้ UI เติมจาก commands.csv
ui.planner.liftTopCtrlShift2,,arrow-up,,"⬆ ยกไปบนสุด <span style=""opacity:.55"">Ctrl+Shift+]</span>","ยกไปบนสุด <span style=""opacity:.55"">{sc:panels-hide-right}</span>","⬆ ยกไปบนสุด <span style=""opacity:.55"">Ctrl+Shift+]</span>","ยกไปบนสุด <span style=""opacity:.55"">{sc:panels-hide-right}</span>",
ui.planner.lock,,lock,,🔒 ล็อก,ล็อก,🔒 ล็อก,ล็อก,
ui.planner.notHasBoardProject,,,,ยังไม่มีกระดานในโปรเจกต์ — กด ✚ ใหม่ เพื่อสร้าง,ยังไม่มีกระดานในโปรเจกต์ — กด ✚ ใหม่ เพื่อสร้าง,ยังไม่มีกระดานในโปรเจกต์ — กด ✚ ใหม่ เพื่อสร้าง,ยังไม่มีกระดานในโปรเจกต์ — กด ✚ ใหม่ เพื่อสร้าง,ไอคอน ✚ อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.planner.openBoardPlanner,,clipboard,,📋 เปิดกระดานวางแผน,เปิดกระดานวางแผน,📋 เปิดกระดานวางแผน,เปิดกระดานวางแผน,
ui.planner.openFile,,book-open,,📖 เปิดไฟล์,เปิดไฟล์,📖 เปิดไฟล์,เปิดไฟล์,
ui.planner.openSnap,,hash,,⌗ เปิด snap,เปิด snap,⌗ เปิด snap,เปิด snap,
ui.planner.pickCardBeforeDrag,,,,เลือกการ์ดก่อน (ลากคลุม / Shift+คลิก) แล้วกด 🗂 จัดกลุ่ม,เลือกการ์ดก่อน (ลากคลุม / Shift+คลิก) แล้วกด 🗂 จัดกลุ่ม,เลือกการ์ดก่อน (ลากคลุม / Shift+คลิก) แล้วกด 🗂 จัดกลุ่ม,เลือกการ์ดก่อน (ลากคลุม / Shift+คลิก) แล้วกด 🗂 จัดกลุ่ม,ไอคอน 🗂 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.planner.pointPosExplorer,,folder-open,,📂 ชี้ตำแหน่งใน Explorer,ชี้ตำแหน่งใน Explorer,📂 ชี้ตำแหน่งใน Explorer,ชี้ตำแหน่งใน Explorer,
ui.planner.putSampleDonePress,,,,ใส่ตัวอย่างแล้ว — กด 💾 ถ้าจะเก็บไว้,ใส่ตัวอย่างแล้ว — กด 💾 ถ้าจะเก็บไว้,ใส่ตัวอย่างแล้ว — กด 💾 ถ้าจะเก็บไว้,ใส่ตัวอย่างแล้ว — กด 💾 ถ้าจะเก็บไว้,ไอคอน 💾 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.planner.rect,,shape-rect,,▭ สี่เหลี่ยม,สี่เหลี่ยม,▭ สี่เหลี่ยม,สี่เหลี่ยม,
ui.planner.reduceOneLayer,,arrow-down,,↓ ลดลงหนึ่งชั้น,ลดลงหนึ่งชั้น,↓ ลดลงหนึ่งชั้น,ลดลงหนึ่งชั้น,
ui.planner.reduceOneLayerCtrl,,arrow-down,,"↓ ลดลงหนึ่งชั้น <span style=""opacity:.55"">Ctrl+[</span>","ลดลงหนึ่งชั้น <span style=""opacity:.55"">Ctrl+[</span>","↓ ลดลงหนึ่งชั้น <span style=""opacity:.55"">Ctrl+[</span>","ลดลงหนึ่งชั้น <span style=""opacity:.55"">Ctrl+[</span>",คีย์ลัด Ctrl+[ ในประโยค — หาคำสั่งที่ตรงไม่เจอ
ui.planner.repeat,,redo,,↷ ทำซ้ำ,ทำซ้ำ,↷ ทำซ้ำ,ทำซ้ำ,
ui.planner.repeatCtrlD,,,,ทำซ้ำ (Ctrl+D),ทำซ้ำ,ทำซ้ำ (Ctrl+D),ทำซ้ำ,ตัดคีย์ลัดท้าย (Ctrl+D) — ให้ UI เติมจาก commands.csv
ui.planner.save,,save,,"💾 บันทึกเป็น ""","บันทึกเป็น ""","💾 บันทึกเป็น ""","บันทึกเป็น """,
ui.planner.saveBefore,,save,,💾 บันทึกก่อน,บันทึกก่อน,💾 บันทึกก่อน,บันทึกก่อน,
ui.planner.saveBoard,,save,,💾 บันทึกกระดาน,บันทึกกระดาน,💾 บันทึกกระดาน,บันทึกกระดาน,
ui.planner.saveBoard2,,save,,"💾 บันทึกกระดาน ""","บันทึกกระดาน ""","💾 บันทึกกระดาน ""","บันทึกกระดาน """,
ui.planner.saveImageBoardDone,,image,,🖼 บันทึกรูปกระดานแล้ว: ,บันทึกรูปกระดานแล้ว:,🖼 บันทึกรูปกระดานแล้ว: ,บันทึกรูปกระดานแล้ว:,
ui.planner.sendBottomLast,,arrow-down,,⬇ ส่งไปล่างสุด,ส่งไปล่างสุด,⬇ ส่งไปล่างสุด,ส่งไปล่างสุด,
ui.planner.sendBottomLastCtrl,,,,ส่งไปล่างสุด (Ctrl+Shift+[),ส่งไปล่างสุด,ส่งไปล่างสุด (Ctrl+Shift+[),ส่งไปล่างสุด,ตัดคีย์ลัดท้าย (Ctrl+Shift+[) — ให้ UI เติมจาก commands.csv
ui.planner.sendBottomLastCtrl2,,arrow-down,,"⬇ ส่งไปล่างสุด <span style=""opacity:.55"">Ctrl+Shift+[</span>","ส่งไปล่างสุด <span style=""opacity:.55"">{sc:panels-hide-left}</span>","⬇ ส่งไปล่างสุด <span style=""opacity:.55"">Ctrl+Shift+[</span>","ส่งไปล่างสุด <span style=""opacity:.55"">{sc:panels-hide-left}</span>",
ui.planner.shape,,square,,⬛ รูปทรงตรงนี้,รูปทรงตรงนี้,⬛ รูปทรงตรงนี้,รูปทรงตรงนี้,
ui.planner.showGrid,,grid,,▦ แสดงกริด,แสดงกริด,▦ แสดงกริด,แสดงกริด,
ui.planner.star,,star-outline,,☆ ดาว,ดาว,☆ ดาว,ดาว,
ui.planner.sticky2,,pin,,📌 โพสต์อิตตรงนี้,โพสต์อิตตรงนี้,📌 โพสต์อิตตรงนี้,โพสต์อิตตรงนี้,
ui.planner.text,,text-tool,,🅃 ข้อความตรงนี้,ข้อความตรงนี้,🅃 ข้อความตรงนี้,ข้อความตรงนี้,
ui.planner.triangle,,shape-triangle,,△ สามเหลี่ยม,สามเหลี่ยม,△ สามเหลี่ยม,สามเหลี่ยม,
ui.planner.undo,,undo,,↶ ย้อนกลับ,ย้อนกลับ,↶ ย้อนกลับ,ย้อนกลับ,
ui.plannerProps.arrow2,,send,,➤ ลูกศร,ลูกศร,➤ ลูกศร,ลูกศร,
ui.plannerProps.bottom2,,download,,⤓ ล่าง,ล่าง,⤓ ล่าง,ล่าง,
ui.plannerProps.centerHoriz,,align-center-h,,⇹ กลางแนวนอน,กลางแนวนอน,⇹ กลางแนวนอน,กลางแนวนอน,
ui.plannerProps.centerVert,,align-center-v,,⇳ กลางแนวตั้ง,กลางแนวตั้ง,⇳ กลางแนวตั้ง,กลางแนวตั้ง,
ui.plannerProps.chapter,,folder,,📁 บท,บท,📁 บท,บท,
ui.plannerProps.comment,,chat,,💬 คอมเมนต์,คอมเมนต์,💬 คอมเมนต์,คอมเมนต์,
ui.plannerProps.cut2,,shape-diamond,,◆ ข้าวหลามตัด,ข้าวหลามตัด,◆ ข้าวหลามตัด,ข้าวหลามตัด,
ui.plannerProps.delAll,,trash,,🗑 ลบทั้งหมด,ลบทั้งหมด,🗑 ลบทั้งหมด,ลบทั้งหมด,
ui.plannerProps.delLine2,,trash,,🗑 ลบเส้นนี้,ลบเส้นนี้,🗑 ลบเส้นนี้,ลบเส้นนี้,
ui.plannerProps.delObject,,trash,,🗑 ลบวัตถุนี้,ลบวัตถุนี้,🗑 ลบวัตถุนี้,ลบวัตถุนี้,
ui.plannerProps.distributeHoriz,,distribute-h,,⇿ กระจายแนวนอน,กระจายแนวนอน,⇿ กระจายแนวนอน,กระจายแนวนอน,
ui.plannerProps.distributeVert,,distribute-v,,↕ กระจายแนวตั้ง,กระจายแนวตั้ง,↕ กระจายแนวตั้ง,กระจายแนวตั้ง,
ui.plannerProps.frame,,image,,🖼 เฟรม,เฟรม,🖼 เฟรม,เฟรม,
ui.plannerProps.group,,collection,,🗂 จัดกลุ่ม,จัดกลุ่ม,🗂 จัดกลุ่ม,จัดกลุ่ม,
ui.plannerProps.left,,outdent,,⇤ ซ้าย,ซ้าย,⇤ ซ้าย,ซ้าย,
ui.plannerProps.lineLink,,link,,🔗 เส้นเชื่อม,เส้นเชื่อม,🔗 เส้นเชื่อม,เส้นเชื่อม,
ui.plannerProps.lineNext,,link,,🔗 เส้นที่ต่ออยู่ (,เส้นที่ต่ออยู่ (,🔗 เส้นที่ต่ออยู่ (,เส้นที่ต่ออยู่ (,
ui.plannerProps.linkLineScrollFind,,,,"
    <button id=""plp-link"" title=""ลากจากจุดสีส้มรอบการ์ดก็ได้"">🔗 เชื่อมเส้น</button>
    <button id=""plp-center"">🎯 เลื่อนไปหา</button>
    <button id=""plp-reveal"">📂 ในเอกสาร</button>
  ","
    <button id=""plp-link"" title=""ลากจากจุดสีส้มรอบการ์ดก็ได้"">🔗 เชื่อมเส้น</button>
    <button id=""plp-center"">🎯 เลื่อนไปหา</button>
    <button id=""plp-reveal"">📂 ในเอกสาร</button>","
    <button id=""plp-link"" title=""ลากจากจุดสีส้มรอบการ์ดก็ได้"">🔗 เชื่อมเส้น</button>
    <button id=""plp-center"">🎯 เลื่อนไปหา</button>
    <button id=""plp-reveal"">📂 ในเอกสาร</button>
  ","
    <button id=""plp-link"" title=""ลากจากจุดสีส้มรอบการ์ดก็ได้"">🔗 เชื่อมเส้น</button>
    <button id=""plp-center"">🎯 เลื่อนไปหา</button>
    <button id=""plp-reveal"">📂 ในเอกสาร</button>",ไอคอน 🔗 🎯 📂 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.plannerProps.lockNotMoveEdit,,,,"<label class=""planner-check""><input type=""checkbox"" id=""plp-lock""{0}> 🔒 ล็อกไม่ให้ย้าย/แก้</label>","<label class=""planner-check""><input type=""checkbox"" id=""plp-lock""{0}> 🔒 ล็อกไม่ให้ย้าย/แก้</label>","<label class=""planner-check""><input type=""checkbox"" id=""plp-lock""{0}> 🔒 ล็อกไม่ให้ย้าย/แก้</label>","<label class=""planner-check""><input type=""checkbox"" id=""plp-lock""{0}> 🔒 ล็อกไม่ให้ย้าย/แก้</label>",ไอคอน 🔒 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.plannerProps.note,,note,,📝 โน้ต,โน้ต,📝 โน้ต,โน้ต,
ui.plannerProps.pickItem,,selection,,⬚ เลือกไว้ {0} ชิ้น,เลือกไว้ {0} ชิ้น,⬚ เลือกไว้ {0} ชิ้น,เลือกไว้ {0} ชิ้น,
ui.plannerProps.pickProject,,,,"<input class=""planner-prop-input"" id=""plp-file"" value=""{0}"" placeholder=""ยังไม่ได้ผูกไฟล์"">
     <div class=""planner-props-actions"" style=""margin-top:5px"">
       <button id=""plp-pick"">📁 เลือกจากโปรเจกต์</button>
       <button id=""plp-unlink"" title=""เอาลิงก์ออก"">✕</button>
     </div>","<input class=""planner-prop-input"" id=""plp-file"" value=""{0}"" placeholder=""ยังไม่ได้ผูกไฟล์"">
     <div class=""planner-props-actions"" style=""margin-top:5px"">
       <button id=""plp-pick"">📁 เลือกจากโปรเจกต์</button>
       <button id=""plp-unlink"" title=""เอาลิงก์ออก"">✕</button>
     </div>","<input class=""planner-prop-input"" id=""plp-file"" value=""{0}"" placeholder=""ยังไม่ได้ผูกไฟล์"">
     <div class=""planner-props-actions"" style=""margin-top:5px"">
       <button id=""plp-pick"">📁 เลือกจากโปรเจกต์</button>
       <button id=""plp-unlink"" title=""เอาลิงก์ออก"">✕</button>
     </div>","<input class=""planner-prop-input"" id=""plp-file"" value=""{0}"" placeholder=""ยังไม่ได้ผูกไฟล์"">
     <div class=""planner-props-actions"" style=""margin-top:5px"">
       <button id=""plp-pick"">📁 เลือกจากโปรเจกต์</button>
       <button id=""plp-unlink"" title=""เอาลิงก์ออก"">✕</button>
     </div>",ไอคอน 📁 ✕ อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.plannerProps.right,,indent,,⇥ ขวา,ขวา,⇥ ขวา,ขวา,
ui.plannerProps.scene,,file,,📄 ฉาก,ฉาก,📄 ฉาก,ฉาก,
ui.plannerProps.shape,,square,,⬛ รูปทรง,รูปทรง,⬛ รูปทรง,รูปทรง,
ui.plannerProps.sticky,,pin,,📌 โพสต์อิต,โพสต์อิต,📌 โพสต์อิต,โพสต์อิต,
ui.plannerProps.text,,text-tool,,🅃 ข้อความ,ข้อความ,🅃 ข้อความ,ข้อความ,
ui.plannerProps.top2,,align-top,,⤒ บน,บน,⤒ บน,บน,
ui.plannerProps.triangleSolid,,play,,▶ สามเหลี่ยมทึบ,สามเหลี่ยมทึบ,▶ สามเหลี่ยมทึบ,สามเหลี่ยมทึบ,
ui.player.empty,,,,ยังไม่มีเรื่องแตกสายให้เล่น — เพิ่มทางเลือกให้ฉากสักฉากที่ผังแตกสาย (🌿) ก่อน,ยังไม่มีเรื่องแตกสายให้เล่น — เพิ่มทางเลือกให้ฉากสักฉากที่ผังแตกสาย (🌿) ก่อน,Nothing branching to play yet — add a choice to a scene in the Branching Map (🌿) first,Nothing branching to play yet — add a choice to a scene in the Branching Map (🌿) first,ไอคอน 🌿 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.player.export,,import,,📥 ส่งออก,ส่งออก,📥 ส่งออก,ส่งออก,
ui.player.historyDecide,,gamepad,,🎮 ประวัติการตัดสินใจ,ประวัติการตัดสินใจ,🎮 ประวัติการตัดสินใจ,ประวัติการตัดสินใจ,
ui.player.historyDecide2,,gamepad,,🎮 ประวัติการตัดสินใจ (,ประวัติการตัดสินใจ (,🎮 ประวัติการตัดสินใจ (,ประวัติการตัดสินใจ (,
ui.player.notHasDecisionChoice,,,,ยังไม่มีการตัดสินใจ — เดินตามทางเลือกในผังแตกสาย (🌿) แล้วจะบันทึกที่นี่,ยังไม่มีการตัดสินใจ — เดินตามทางเลือกในผังแตกสาย (🌿) แล้วจะบันทึกที่นี่,ยังไม่มีการตัดสินใจ — เดินตามทางเลือกในผังแตกสาย (🌿) แล้วจะบันทึกที่นี่,ยังไม่มีการตัดสินใจ — เดินตามทางเลือกในผังแตกสาย (🌿) แล้วจะบันทึกที่นี่,ไอคอน 🌿 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.player.notHasStoryBreak,,,,ยังไม่มีเรื่องแตกสายให้เล่น — เพิ่มทางเลือกให้ฉากสักฉากที่ผังแตกสาย (🌿) ก่อน,ยังไม่มีเรื่องแตกสายให้เล่น — เพิ่มทางเลือกให้ฉากสักฉากที่ผังแตกสาย (🌿) ก่อน,ยังไม่มีเรื่องแตกสายให้เล่น — เพิ่มทางเลือกให้ฉากสักฉากที่ผังแตกสาย (🌿) ก่อน,ยังไม่มีเรื่องแตกสายให้เล่น — เพิ่มทางเลือกให้ฉากสักฉากที่ผังแตกสาย (🌿) ก่อน,ไอคอน 🌿 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.plug.installWarn,,error,,⚠ ปลั๊กอินรันโค้ดได้เต็มที่ในโปรแกรม (อ่าน-เขียนไฟล์ในผลงานได้) — ติดตั้งเฉพาะจากคนที่เชื่อถือได้,ปลั๊กอินรันโค้ดได้เต็มที่ในโปรแกรม (อ่าน-เขียนไฟล์ในผลงานได้) — ติดตั้งเฉพาะจากคนที่เชื่อถือได้,⚠ Plugins run with full access to your project files — only install from sources you trust,Plugins run with full access to your project files — only install from sources you trust,
ui.project.fantasy,,fantasy,,🐉 แฟนตาซี,แฟนตาซี,🐉 แฟนตาซี,แฟนตาซี,
ui.project.investigateBack,,search,,🔍 สืบสวน/ลึกลับ,สืบสวน/ลึกลับ,🔍 สืบสวน/ลึกลับ,สืบสวน/ลึกลับ,
ui.project.screenplay,,film,,🎬 บทภาพยนตร์,บทภาพยนตร์,🎬 บทภาพยนตร์,บทภาพยนตร์,
ui.quickOpen.pickEnterOpenEsc,,arrow-up,,↑↓ เลือก · Enter เปิด · Esc ปิด · Ctrl+R สแกนใหม่,↓ เลือก · Enter เปิด · Esc ปิด · Ctrl+R สแกนใหม่,↑↓ เลือก · Enter เปิด · Esc ปิด · Ctrl+R สแกนใหม่,↓ เลือก · Enter เปิด · Esc ปิด · Ctrl+R สแกนใหม่,คีย์ลัด Ctrl+R ในประโยค — หาคำสั่งที่ตรงไม่เจอ
ui.recOrd.exportCSV,,export,,📤 ส่งออก CSV,ส่งออก CSV,📤 ส่งออก CSV,ส่งออก CSV,
ui.recOrd.normal,,smile,,🙂 ปกติ,ปกติ,🙂 ปกติ,ปกติ,
ui.recOrd.save,,checkmark,,✔ บันทึก,บันทึก,✔ บันทึก,บันทึก,
ui.recOrd.save2,,plus,,➕ บันทึก,บันทึก,➕ บันทึก,บันทึก,
ui.roster.fetchWiki,,arrow-down,,↓ ดึงจาก Wiki,ดึงจาก Wiki,↓ ดึงจาก Wiki,ดึงจาก Wiki,
ui.scene.chapterImportantFavorite,,star,,⭐ บทสำคัญ (Favorite),บทสำคัญ (Favorite),⭐ บทสำคัญ (Favorite),บทสำคัญ (Favorite),
ui.scene.filterSearchNameTag,,search,,🔍 กรอง — ค้นชื่อ/แท็ก/สถานะ/เรื่องย่อ,กรอง — ค้นชื่อ/แท็ก/สถานะ/เรื่องย่อ,🔍 กรอง — ค้นชื่อ/แท็ก/สถานะ/เรื่องย่อ,กรอง — ค้นชื่อ/แท็ก/สถานะ/เรื่องย่อ,
ui.scene.pinPin,,star,,⭐ ปักหมุด: ,ปักหมุด:,⭐ ปักหมุด: ,ปักหมุด:,
ui.scene.tableScene2,,chart,,📊 ตารางฉาก,ตารางฉาก,📊 ตารางฉาก,ตารางฉาก,
ui.scene.tableSceneAll,,chart,,📊 ตารางฉากทั้งหมด,ตารางฉากทั้งหมด,📊 ตารางฉากทั้งหมด,ตารางฉากทั้งหมด,
ui.search.searchProject,,search,,🔍 ค้นหาทั้งโปรเจกต์,ค้นหาทั้งโปรเจกต์,🔍 ค้นหาทั้งโปรเจกต์,ค้นหาทั้งโปรเจกต์,
ui.section.coverOut,,close,,✕ เอาปกออก,เอาปกออก,✕ เอาปกออก,เอาปกออก,
ui.section.pickImage,,image,,🖼 เลือกรูป…,เลือกรูป…,🖼 เลือกรูป…,เลือกรูป…,
ui.sensory.ambienceSensory,,globe,,🌐 บรรยากาศรับรู้,บรรยากาศรับรู้,🌐 บรรยากาศรับรู้,บรรยากาศรับรู้,
ui.sensory.smell,,sense-smell,,👃 กลิ่น,กลิ่น,👃 กลิ่น,กลิ่น,
ui.sensory.taste,,sense-taste,,👅 รสชาติ,รสชาติ,👅 รสชาติ,รสชาติ,
ui.sensory.thingHear,,sense-hearing,,👂 สิ่งที่ได้ยิน,สิ่งที่ได้ยิน,👂 สิ่งที่ได้ยิน,สิ่งที่ได้ยิน,
ui.sensory.touch,,sense-touch,,🖐 สัมผัส,สัมผัส,🖐 สัมผัส,สัมผัส,
ui.shortcutCategories.edit,,edit,,✏️ แก้ไข,แก้ไข,Edit,Edit,
ui.shortcutCategories.file,,folder-open,,📂 ไฟล์,ไฟล์,File,File,
ui.shortcutCategories.format,,palette,,🎨 รูปแบบ,รูปแบบ,Format,Format,
ui.shortcutCategories.navigation,,refresh,,🔄 การนำทาง,การนำทาง,Navigation,Navigation,
ui.shortcutCategories.view,,eye,,👁 มุมมอง,มุมมอง,View,View,
ui.split.closePane,,close,,✕ ปิดช่องนี้,ปิดช่องนี้,✕ Close pane,Close pane,
ui.spValidator.notFoundError,,check-circle,,✅ ไม่พบข้อผิดพลาด,ไม่พบข้อผิดพลาด,✅ ไม่พบข้อผิดพลาด,ไม่พบข้อผิดพลาด,
ui.status.export,,export,,📤 ส่งออก…,ส่งออก…,📤 ส่งออก…,ส่งออก…,
ui.status.import,,import,,📥 นำเข้า…,นำเข้า…,📥 นำเข้า…,นำเข้า…,
ui.status.manageStatusScene,,tag,,🏷 จัดการสถานะฉาก,จัดการสถานะฉาก,🏷 จัดการสถานะฉาก,จัดการสถานะฉาก,
ui.tags.list,,clipboard,,📋 รายการ,รายการ,📋 รายการ,รายการ,
ui.tags.manageVisualTags,,tag,,🏷 จัดการ Visual Tags,จัดการ Visual Tags,🏷 จัดการ Visual Tags,จัดการ Visual Tags,
ui.tags.tag3,,cloud,,☁️ เมฆแท็ก,เมฆแท็ก,☁️ เมฆแท็ก,เมฆแท็ก,
ui.tags.tag4,,tag,,🏷 แท็ก,แท็ก,🏷 แท็ก,แท็ก,
ui.tags.tagAll,,tag,,🏷 แท็กทั้งหมด,แท็กทั้งหมด,🏷 แท็กทั้งหมด,แท็กทั้งหมด,
ui.tbcfg.reset,,rotate-left,,↺ คืนค่าเริ่มต้น,คืนค่าเริ่มต้น,↺ Reset,Reset,
ui.thes.close,,close,,✕ ปิด,ปิด,✕ ปิด,ปิด,
ui.thes.thesaurusWordOpposite,,book-open,,"📖 คำพ้อง/คำตรงข้าม: ""{0}""","คำพ้อง/คำตรงข้าม: ""{0}""","📖 คำพ้อง/คำตรงข้าม: ""{0}""","คำพ้อง/คำตรงข้าม: ""{0}""",
ui.timeline.card,,grid,,▦ การ์ด,การ์ด,▦ การ์ด,การ์ด,
ui.timeline.hasDotEventTime,,error,,⚠ มี {0} จุดที่เหตุการณ์เวลาตรงกัน (ไฮไลต์สีส้ม) — ตรวจว่าตั้งใจหรือไม่,มี {0} จุดที่เหตุการณ์เวลาตรงกัน (ไฮไลต์สีส้ม) — ตรวจว่าตั้งใจหรือไม่,⚠ มี {0} จุดที่เหตุการณ์เวลาตรงกัน (ไฮไลต์สีส้ม) — ตรวจว่าตั้งใจหรือไม่,มี {0} จุดที่เหตุการณ์เวลาตรงกัน (ไฮไลต์สีส้ม) — ตรวจว่าตั้งใจหรือไม่,
ui.timeline.hasDotTimeAt,,error,,⚠ มี {0} จุดที่เวลาตรงกัน (ไฮไลต์สีส้ม),มี {0} จุดที่เวลาตรงกัน (ไฮไลต์สีส้ม),⚠ มี {0} จุดที่เวลาตรงกัน (ไฮไลต์สีส้ม),มี {0} จุดที่เวลาตรงกัน (ไฮไลต์สีส้ม),
ui.timeline.lineTime,,time,,🕒 เส้นเวลา,เส้นเวลา,🕒 เส้นเวลา,เส้นเวลา,
ui.toolbar.starter,,magic,,✨ Story Starter (ตั้งต้นเรื่อง · เล่นเป็นตอนกับ AI),Story Starter (ตั้งต้นเรื่อง · เล่นเป็นตอนกับ AI),✨ Story Starter (ตั้งต้นเรื่อง · เล่นเป็นตอนกับ AI),Story Starter (ตั้งต้นเรื่อง · เล่นเป็นตอนกับ AI),
ui.vis.addFree,,plus,,➕ แถวว่าง,แถวว่าง,➕ Blank row,Blank row,
ui.vis.addRow,,plus,,➕ เพิ่มจากบรรทัดในฉาก,เพิ่มจากบรรทัดในฉาก,➕ Add from scene lines,Add from scene lines,
ui.vis.cols,,cog,,⚙ คอลัมน์,คอลัมน์,⚙ Columns,Columns,
ui.vis.menu,,film,,🎬 เล่าด้วยภาพ,เล่าด้วยภาพ,🎬 Visual telling,Visual telling,
ui.vis.viewFull,,fullscreen,,⛶ เต็มจอ,เต็มจอ,⛶ Full screen,Full screen,
ui.wiki.aiFillTip,,magic,,✨ ให้ AI เติมช่องนี้ให้ (คลิกเดียว),ให้ AI เติมช่องนี้ให้ (คลิกเดียว),✨ Let AI fill this field (one click),Let AI fill this field (one click),
ui.wiki.decision,,gamepad,,🎮 การตัดสินใจที่เกี่ยวกับ ,การตัดสินใจที่เกี่ยวกับ,🎮 การตัดสินใจที่เกี่ยวกับ ,การตัดสินใจที่เกี่ยวกับ,
ui.wiki.saveCtrlS,,,, บันทึก (Ctrl+S), บันทึก, บันทึก (Ctrl+S), บันทึก,ตัดคีย์ลัดท้าย (Ctrl+S) — ให้ UI เติมจาก commands.csv
ui.html.saveAllBtn,,,,บันทึกทั้งหมด (Ctrl+Shift+S),บันทึกทั้งหมด,Save all (Ctrl+Shift+S),Save all,ตัดคีย์ลัดท้าย (Ctrl+Shift+S) — ให้ UI เติมจาก commands.csv
ui.html.tbTheme,,,,ธีมมืด — คลิกเพื่อไปธีมสว่าง (Ctrl+Shift+P),ธีมมืด — คลิกเพื่อไปธีมสว่าง,Dark theme — click for the light one (Ctrl+Shift+P),Dark theme — click for the light one,ตัดคีย์ลัดท้าย (Ctrl+Shift+P) — ให้ UI เติมจาก commands.csv
ui.html.tbMode,toggle-format,,,สลับโหมดเอกสาร นิยาย ↔ บทหนัง (Ctrl+Shift+M),สลับโหมดเอกสาร นิยาย ↔ บทหนัง,Switch document mode: prose ↔ screenplay (Ctrl+Shift+M),Switch document mode: prose ↔ screenplay,ตัดคีย์ลัดท้าย (Ctrl+Shift+M) — ให้ UI เติมจาก commands.csv
ui.html.tbBold,fmt:bold,,,ตัวหนา (Ctrl+B),ตัวหนา,Bold (Ctrl+B),Bold,ตัดคีย์ลัดท้าย (Ctrl+B) — ให้ UI เติมจาก commands.csv
ui.html.tbItalic,fmt:italic,,,ตัวเอียง (Ctrl+I),ตัวเอียง,Italic (Ctrl+I),Italic,ตัดคีย์ลัดท้าย (Ctrl+I) — ให้ UI เติมจาก commands.csv
ui.html.tbUnderline,fmt:underline,,,ขีดเส้นใต้ (Ctrl+U),ขีดเส้นใต้,Underline (Ctrl+U),Underline,ตัดคีย์ลัดท้าย (Ctrl+U) — ให้ UI เติมจาก commands.csv
ui.html.tbAlignLeft,fmt:align:left,,,ชิดซ้าย (Ctrl+Shift+L),ชิดซ้าย,Align left (Ctrl+Shift+L),Align left,ตัดคีย์ลัดท้าย (Ctrl+Shift+L) — ให้ UI เติมจาก commands.csv
ui.html.tbAlignCenter,fmt:align:center,,,กึ่งกลาง (Ctrl+Shift+K),กึ่งกลาง,Align centre (Ctrl+Shift+K),Align centre,ตัดคีย์ลัดท้าย (Ctrl+Shift+K) — ให้ UI เติมจาก commands.csv
ui.html.tbAlignRight,fmt:align:right,,,ชิดขวา (Ctrl+Shift+R),ชิดขวา,Align right (Ctrl+Shift+R),Align right,ตัดคีย์ลัดท้าย (Ctrl+Shift+R) — ให้ UI เติมจาก commands.csv
